RISE LIMIT,SINK LIMIT,COOL-OFF SPAN,GRAND PERCENT CHANGE
23,61,23,63
23,61,37,61
23,61,61,56
23,61,100,53
23,100,1,64
23,100,2,64
23,100,3,64
23,100,5,64
23,100,8,64
23,100,14,63
23,100,23,61
23,100,37,60
23,100,61,56
23,100,100,53
37,1,1,68
37,1,2,68
37,1,3,64
37,1,5,57
37,1,8,52
37,1,14,44
37,1,23,40
37,1,37,30
37,1,61,17
37,1,100,20
37,2,1,70
37,2,2,70
37,2,3,66
37,2,5,61
37,2,8,56
37,2,14,49
37,2,23,46
37,2,37,40
37,2,61,29
37,2,100,26
37,3,1,71
37,3,2,69
37,3,3,67
37,3,5,64
37,3,8,59
37,3,14,51
37,3,23,51
37,3,37,41
37,3,61,36
37,3,100,29
37,5,1,73
37,5,2,71
37,5,3,69
37,5,5,67
37,5,8,64
37,5,14,56
37,5,23,54
37,5,37,48
37,5,61,42
37,5,100,39
37,8,1,74
37,8,2,71
37,8,3,71
37,8,5,67
37,8,8,65
37,8,14,62
37,8,23,62
37,8,37,54
37,8,61,50
37,8,100,47
37,14,1,73
37,14,2,71
37,14,3,71
37,14,5,69
37,14,8,69
37,14,14,66
37,14,23,65
37,14,37,60
37,14,61,58
37,14,100,53
37,23,1,71
37,23,2,71
37,23,3,71
37,23,5,70
37,23,8,69
37,23,14,67
37,23,23,67
37,23,37,63
37,23,61,60
37,23,100,57
37,37,1,70
37,37,2,70
37,37,3,70
37,37,5,69
37,37,8,69
37,37,14,68
37,37,23,68
37,37,37,65
37,37,61,62
37,37,100,60
37,61,1,69
37,61,2,69
37,61,3,69
37,61,5,69
37,61,8,68
37,61,14,68
37,61,23,67
37,61,37,65
37,61,61,63
37,61,100,59
37,100,1,67
37,100,2,67
37,100,3,67
37,100,5,67
37,100,8,67
37,100,14,66
37,100,23,66
37,100,37,64
37,100,61,62
37,100,100,59
61,1,1,74
61,1,2,74
61,1,3,71
61,1,5,66
61,1,8,62
61,1,14,56
61,1,23,51
61,1,37,41
61,1,61,25
61,1,100,28
61,2,1,75
61,2,2,75
61,2,3,72
61,2,5,69
61,2,8,65
61,2,14,59
61,2,23,56
61,2,37,50
61,2,61,40
61,2,100,34
61,3,1,76
61,3,2,75
61,3,3,73
61,3,5,70
61,3,8,67
61,3,14,61
61,3,23,61
61,3,37,54
61,3,61,46
61,3,100,39
61,5,1,77
61,5,2,77
61,5,3,75
61,5,5,72
61,5,8,71
61,5,14,65
61,5,23,66
61,5,37,62
61,5,61,53
61,5,100,49
61,8,1,78
61,8,2,76
61,8,3,76
61,8,5,74
61,8,8,73
61,8,14,70
61,8,23,70
61,8,37,65
61,8,61,61
61,8,100,55
61,14,1,77
61,14,2,76
61,14,3,76
61,14,5,75
61,14,8,75
61,14,14,72
61,14,23,73
61,14,37,69
61,14,61,67
61,14,100,62
61,23,1,76
61,23,2,76
61,23,3,76
61,23,5,76
61,23,8,75
61,23,14,74
61,23,23,75
61,23,37,72
61,23,61,68
61,23,100,66
61,37,1,74
61,37,2,74
61,37,3,74
61,37,5,74
61,37,8,74
61,37,14,74
61,37,23,74
61,37,37,72
61,37,61,70
61,37,100,67
61,61,1,74
61,61,2,73
61,61,3,73
61,61,5,74
61,61,8,73
61,61,14,73
61,61,23,73
61,61,37,72
61,61,61,69
61,61,100,67
61,100,1,72
61,100,2,72
61,100,3,72
61,100,5,72
61,100,8,72
61,100,14,72
61,100,23,71
61,100,37,71
61,100,61,69
61,100,100,66
100,1,1,82
100,1,2,82
100,1,3,80
100,1,5,75
100,1,8,71
100,1,14,63
100,1,23,58
100,1,37,48
100,1,61,31
100,1,100,33
100,2,1,83
100,2,2,82
100,2,3,80
100,2,5,76
100,2,8,73
100,2,14,67
100,2,23,63
100,2,37,57
100,2,61,46
100,2,100,41
100,3,1,83
100,3,2,83
100,3,3,82
100,3,5,78
100,3,8,76
100,3,14,69
100,3,23,68
100,3,37,62
100,3,61,51
100,3,100,46
100,5,1,84
100,5,2,83
100,5,3,82
100,5,5,80
100,5,8,80
100,5,14,75
100,5,23,73
100,5,37,70
100,5,61,60
100,5,100,57
100,8,1,84
100,8,2,84
100,8,3,82
100,8,5,81
100,8,8,80
100,8,14,77
100,8,23,77
100,8,37,73
100,8,61,69
100,8,100,65
100,14,1,82
100,14,2,82
100,14,3,82
100,14,5,82
100,14,8,81
100,14,14,79
100,14,23,79
100,14,37,76
100,14,61,74
100,14,100,71
100,23,1,82
100,23,2,82
